Name,Work Hours Per Day,
Finland FT,7.5,"INSERT INTO tempworkcalendars (id, workCalendar, dailyQuota) VALUES(uuid_generate_v4(), 'Finland FT', '7.5');"
Finland PT 3 Mon-Fri,3,"INSERT INTO tempworkcalendars (id, workCalendar, dailyQuota) VALUES(uuid_generate_v4(), 'Finland PT 3 Mon-Fri', '3');"
Finland PT 3.75 Mon-Fri,3.75,"INSERT INTO tempworkcalendars (id, workCalendar, dailyQuota) VALUES(uuid_generate_v4(), 'Finland PT 3.75 Mon-Fri', '3.75');"
Finland PT 3.75 Tue-Fri,3.75,"INSERT INTO tempworkcalendars (id, workCalendar, dailyQuota) VALUES(uuid_generate_v4(), 'Finland PT 3.75 Tue-Fri', '3.75');"
Finland PT 4 Mon-Fri,4,"INSERT INTO tempworkcalendars (id, workCalendar, dailyQuota) VALUES(uuid_generate_v4(), 'Finland PT 4 Mon-Fri', '4');"
Finland PT 4.5 Mon-Fri,4.5,"INSERT INTO tempworkcalendars (id, workCalendar, dailyQuota) VALUES(uuid_generate_v4(), 'Finland PT 4.5 Mon-Fri', '4.5');"
"Finland PT 5 Tue, Wed, Fri",5,"INSERT INTO tempworkcalendars (id, workCalendar, dailyQuota) VALUES(uuid_generate_v4(), 'Finland PT 5 Tue, Wed, Fri', '5');"
"Finland PT 5,625 (Mon-Thu)",5.625,"INSERT INTO tempworkcalendars (id, workCalendar, dailyQuota) VALUES(uuid_generate_v4(), 'Finland PT 5,625 (Mon-Thu)', '5.625');"
Finland PT 5.25 Mon-Fri,5.25,"INSERT INTO tempworkcalendars (id, workCalendar, dailyQuota) VALUES(uuid_generate_v4(), 'Finland PT 5.25 Mon-Fri', '5.25');"
Finland PT 5.5 Mon-Fri,5.5,"INSERT INTO tempworkcalendars (id, workCalendar, dailyQuota) VALUES(uuid_generate_v4(), 'Finland PT 5.5 Mon-Fri', '5.5');"
Finland PT 5.5 Tue-Fri,5.5,"INSERT INTO tempworkcalendars (id, workCalendar, dailyQuota) VALUES(uuid_generate_v4(), 'Finland PT 5.5 Tue-Fri', '5.5');"
Finland PT 5.625 Tue-Fri,5.625,"INSERT INTO tempworkcalendars (id, workCalendar, dailyQuota) VALUES(uuid_generate_v4(), 'Finland PT 5.625 Tue-Fri', '5.625');"
Finland PT 6 Mon-Fri,6,"INSERT INTO tempworkcalendars (id, workCalendar, dailyQuota) VALUES(uuid_generate_v4(), 'Finland PT 6 Mon-Fri', '6');"
"Finland PT 6,25 Mon-Wed",6.25,"INSERT INTO tempworkcalendars (id, workCalendar, dailyQuota) VALUES(uuid_generate_v4(), 'Finland PT 6,25 Mon-Wed', '6.25');"
Finland PT 6.5 Mon-Fri,6.5,"INSERT INTO tempworkcalendars (id, workCalendar, dailyQuota) VALUES(uuid_generate_v4(), 'Finland PT 6.5 Mon-Fri', '6.5');"
Finland PT 6.75 Mon-Fri,6.75,"INSERT INTO tempworkcalendars (id, workCalendar, dailyQuota) VALUES(uuid_generate_v4(), 'Finland PT 6.75 Mon-Fri', '6.75');"
Finland PT 7 Mon-Fri,7,"INSERT INTO tempworkcalendars (id, workCalendar, dailyQuota) VALUES(uuid_generate_v4(), 'Finland PT 7 Mon-Fri', '7');"
"Finland PT 7,5 Mon, Tue, Wed, Fri",7.5,"INSERT INTO tempworkcalendars (id, workCalendar, dailyQuota) VALUES(uuid_generate_v4(), 'Finland PT 7,5 Mon, Tue, Wed, Fri', '7.5');"
"Finland PT 7,5 Tue,Wed,Fri",7.5,"INSERT INTO tempworkcalendars (id, workCalendar, dailyQuota) VALUES(uuid_generate_v4(), 'Finland PT 7,5 Tue,Wed,Fri', '7.5');"
Finland PT 7.5 Mon Tue Thu Fri,7.5,"INSERT INTO tempworkcalendars (id, workCalendar, dailyQuota) VALUES(uuid_generate_v4(), 'Finland PT 7.5 Mon Tue Thu Fri', '7.5');"
"Finland PT 7.5 Mon, Tue, Fri",7.5,"INSERT INTO tempworkcalendars (id, workCalendar, dailyQuota) VALUES(uuid_generate_v4(), 'Finland PT 7.5 Mon, Tue, Fri', '7.5');"
"Finland PT 7.5 Mon, Wed, Fri",7.5,"INSERT INTO tempworkcalendars (id, workCalendar, dailyQuota) VALUES(uuid_generate_v4(), 'Finland PT 7.5 Mon, Wed, Fri', '7.5');"
Finland PT 7.5 Mon-Thu,7.5,"INSERT INTO tempworkcalendars (id, workCalendar, dailyQuota) VALUES(uuid_generate_v4(), 'Finland PT 7.5 Mon-Thu', '7.5');"
Finland PT 7.5 Mon-Wed,7.5,"INSERT INTO tempworkcalendars (id, workCalendar, dailyQuota) VALUES(uuid_generate_v4(), 'Finland PT 7.5 Mon-Wed', '7.5');"
Finland PT 7.5 Tue Wed,7.5,"INSERT INTO tempworkcalendars (id, workCalendar, dailyQuota) VALUES(uuid_generate_v4(), 'Finland PT 7.5 Tue Wed', '7.5');"
Finland PT 7.5 Tue-Fri,7.5,"INSERT INTO tempworkcalendars (id, workCalendar, dailyQuota) VALUES(uuid_generate_v4(), 'Finland PT 7.5 Tue-Fri', '7.5');"
Finland PT 7.5 Tue-Thu,7.5,"INSERT INTO tempworkcalendars (id, workCalendar, dailyQuota) VALUES(uuid_generate_v4(), 'Finland PT 7.5 Tue-Thu', '7.5');"
Finland PT 7.5 Wed-Fri,7.5,"INSERT INTO tempworkcalendars (id, workCalendar, dailyQuota) VALUES(uuid_generate_v4(), 'Finland PT 7.5 Wed-Fri', '7.5');"
Germany FT,7.5,"INSERT INTO tempworkcalendars (id, workCalendar, dailyQuota) VALUES(uuid_generate_v4(), 'Germany FT', '7.5');"
Germany PT 7.5 Mon-Thu,7.5,"INSERT INTO tempworkcalendars (id, workCalendar, dailyQuota) VALUES(uuid_generate_v4(), 'Germany PT 7.5 Mon-Thu', '7.5');"
Germany PT 8 Mon-Thu,8,"INSERT INTO tempworkcalendars (id, workCalendar, dailyQuota) VALUES(uuid_generate_v4(), 'Germany PT 8 Mon-Thu', '8');"
"Germany, Stuttgart FT",7.5,"INSERT INTO tempworkcalendars (id, workCalendar, dailyQuota) VALUES(uuid_generate_v4(), 'Germany, Stuttgart FT', '7.5');"
